Fault ID,Fault Type,"Fault Location (Latitude, Longitude)",Voltage (V),Current (A),Power Load (MW),Temperature (°C),Wind Speed (km/h),Weather Condition,Maintenance Status,Component Health,Duration of Fault (hrs),Down time (hrs)
F168,Line Breakage,"(34.8492, -118.4913)",2002.8585398853802,222.3447019442419,45.785605843062605,25.246944245663396,15.321809799674615,Rainy,Scheduled,Faulty,4.19002078814599,1.8712828654684097
F026,Line Breakage,"(34.5828, -118.0344)",2178.939826176345,232.80113213158344,51.18262229226427,28.83652645845822,23.63603362762927,Thunderstorm,Completed,Overheated,6.131490476011238,5.523951669982615
F351,Line Breakage,"(34.5514, -118.7197)",2255.003408605908,213.628196962826,49.92514519853648,27.425565474757263,17.00453836842068,Rainy,Pending,Normal,4.858239917160892,3.416460062242186
F088,Line Breakage,"(34.7987, -118.0775)",2420.178645295934,186.15146529650056,45.1217492457471,29.255597977526484,13.373228791232766,Snowy,Scheduled,Faulty,6.230354764103541,3.6674013913728305
F436,Overheating,"(34.1213, -118.7817)",1904.5916110372964,188.3359972922054,47.429797587404835,26.979406314842066,18.738981630958758,Thunderstorm,Completed,Overheated,4.47521631443271,5.2847990804114024
F399,Line Breakage,"(34.8918, -118.9893)",1949.5039582797708,195.15167286597696,53.66003421869584,36.90915003060293,14.125713381353552,Clear,Completed,Overheated,5.815926080204587,5.108942741339644
F009,Transformer Failure,"(34.1971, -118.3658)",2152.870833102007,251.45742823274486,51.18990240119595,32.06064551947779,20.228451321093,Snowy,Completed,Normal,5.710912385499109,4.335575568438978
F024,Transformer Failure,"(34.7943, -118.57)",2107.9000348365857,245.9668676105899,46.53111755912237,34.04611964651402,24.729808541268156,Clear,Completed,Overheated,6.467222219047103,4.181534348009114
F132,Transformer Failure,"(34.6949, -118.7269)",2154.8248244571478,208.51488945847635,50.56514306160259,22.102287066494398,33.15020927440973,Thunderstorm,Scheduled,Normal,2.091710328334978,2.05425766261294
F201,Overheating,"(34.9278, -118.5452)",2067.694386619414,205.00140585508345,49.079198857835145,22.35046775842695,22.275045526205357,Clear,Scheduled,Overheated,6.124685010212047,3.011429993604809
F475,Line Breakage,"(34.1436, -118.27)",1958.5884327712467,204.5932736469649,48.51306299033315,25.56980760794497,12.79693552624235,Snowy,Completed,Faulty,3.4944415824765533,5.772594961162766
F170,Transformer Failure,"(34.7988, -118.5527)",2013.7004616312988,225.37506674032414,52.13897720706763,38.09825858401161,23.69583959756936,Rainy,Completed,Faulty,2.0082527986919443,4.38174636716199
F260,Overheating,"(34.393, -118.629)",2174.5398657298383,186.6209313914095,53.2845863399437,29.903120690158648,18.564975236051808,Windstorm,Pending,Overheated,4.687086883615256,4.520491950206171
F240,Line Breakage,"(34.0647, -118.0042)",2068.062654578998,180.04397292908266,49.12756918509717,25.29499410153382,17.389883887740343,Clear,Completed,Overheated,4.7976531003394145,3.092249906480736
F200,Line Breakage,"(34.3147, -118.1348)",2059.387721576589,262.88332931099734,53.62531683506447,33.994284477107925,19.355313542990363,Snowy,Scheduled,Overheated,3.574107577415732,4.227477176182514
F284,Transformer Failure,"(34.3316, -118.0275)",1995.55503192385,195.6568782238442,49.87743491972347,40.41921303644903,18.599018451848448,Clear,Completed,Faulty,3.921032757638213,1.9664069775571846
F384,Line Breakage,"(34.2405, -118.9492)",2110.5164047722583,190.98341634186164,56.53695055181478,33.381917311267934,20.096628467309426,Clear,Scheduled,Normal,2.8567599680272635,2.6647713393509274
F383,Line Breakage,"(34.8045, -118.6639)",1919.9503145258652,219.84201525460415,50.57735209676515,31.873810742749935,19.329758754596153,Thunderstorm,Scheduled,Faulty,3.975273363405395,1.2595412601929423
F335,Line Breakage,"(34.1108, -118.3038)",2132.639199215852,226.90798874624832,54.97967051148675,30.799114750915013,25.076402705844956,Clear,Scheduled,Overheated,3.0118407067777326,2.9225111004355453
F014,Transformer Failure,"(34.9242, -118.2883)",2221.9078987308462,220.0565519516675,47.58942664370785,32.75043209424499,28.89159446515281,Clear,Completed,Normal,2.2564345936790664,2.333576786362246
F396,Transformer Failure,"(34.0897, -118.4778)",1891.5503359986924,237.35116389975423,44.76917377149583,28.4654458863208,23.331320284528008,Thunderstorm,Scheduled,Faulty,3.371867571615411,-0.38593379959535934
F501,Overheating,"(34.8307, -118.3005)",2134.919444821617,225.8161547232485,50.2899356045494,25.177380809139045,29.711836632306735,Clear,Pending,Normal,3.0814009718284012,2.44229431637478
F146,Line Breakage,"(34.5741, -118.065)",2114.65134683214,196.00630998771587,52.627026893564306,17.113910719624787,14.648512518525965,Rainy,Scheduled,Overheated,4.694789232388394,0.6718153605745778
F504,Overheating,"(34.7279, -118.6279)",2071.63105951487,231.44649119321684,48.559988351870786,36.91246008431631,15.013022889409452,Thunderstorm,Pending,Normal,2.2163850891128156,1.4805379018240576
F314,Line Breakage,"(34.3129, -118.5028)",1814.2375067747269,243.1981373867675,50.82541297243912,36.93712803113226,25.618039303931262,Rainy,Scheduled,Overheated,4.1978053651800415,4.957034287538497
F396,Line Breakage,"(34.3879, -118.3666)",1888.9076629100464,209.15338051396176,47.47880184694925,39.561583210206706,11.05154168853795,Clear,Scheduled,Overheated,3.082103179840905,2.9388781827266257
F406,Line Breakage,"(34.4452, -118.4242)",2107.5635138662615,220.6268940910801,53.769735412062964,10.828674566786521,25.836266240531575,Snowy,Scheduled,Faulty,5.435284108154584,3.6414063553046327
F161,Overheating,"(34.4771, -118.066)",2177.63772392477,212.52340403436443,55.355428659537516,32.811785609228224,30.178057880367398,Snowy,Pending,Overheated,4.829746315894763,3.7189946209968974
F034,Overheating,"(34.5953, -118.5236)",2218.2094833649107,223.47487688119548,54.764091482144565,31.860860152247167,20.229580797171867,Snowy,Scheduled,Overheated,3.572571317358018,5.741645668240104
F346,Line Breakage,"(34.7105, -118.5379)",2092.4572486195893,200.017740320424,50.53784283475895,35.544827668945516,18.27520248692004,Thunderstorm,Scheduled,Faulty,4.96664023411294,2.301550500297899
F244,Transformer Failure,"(34.7655, -118.22)",2168.5591270793684,218.37708549447882,49.51595728111564,24.964853185950822,17.595405936900324,Windstorm,Completed,Overheated,3.7426363767072783,1.483052478596202
F116,Transformer Failure,"(34.1005, -118.7155)",1842.6648439282299,226.03440237266875,50.22843797005921,37.029453389953815,32.607719072345624,Rainy,Pending,Faulty,5.202899633015767,3.323411284436229
F162,Line Breakage,"(34.3866, -118.0057)",1921.4496068611581,254.65837611426778,49.86143528123431,25.981936610463787,23.87844032576324,Windstorm,Completed,Normal,5.059481166627747,4.177291905061027
F201,Line Breakage,"(34.6305, -118.222)",2096.796019598974,202.36777052394228,51.789179021421134,27.953440843776686,23.184662160534188,Clear,Completed,Overheated,5.642455304357301,2.647306457840682
F102,Transformer Failure,"(34.3217, -118.1726)",2426.836790465033,226.8786421436013,51.43169315157799,29.311961884971257,6.767378802204595,Rainy,Pending,Overheated,5.226263115695638,5.6887783230666
F315,Line Breakage,"(34.1971, -118.3658)",2313.513316227378,205.49392967981615,45.88738529610434,33.72750814385755,15.86962866260913,Rainy,Pending,Normal,1.6855206306281074,2.898010504319296
F212,Overheating,"(34.5865, -118.6772)",1900.5579083086905,222.690938020249,47.685491804426135,31.31322918290808,29.345754871043354,Snowy,Pending,Normal,3.8211753060840707,5.866749409214634
F423,Transformer Failure,"(34.0468, -118.5257)",2174.4725699951673,204.1831758660534,49.45684057086167,16.73996210459946,19.481161549078134,Snowy,Scheduled,Overheated,3.641953721992146,2.8906060536526508
F396,Line Breakage,"(34.4977, -118.0222)",2031.2890107215885,221.81228065309685,48.1840544968513,27.954391064035473,19.571333710073908,Windstorm,Pending,Overheated,4.40286505471823,2.7192227390672494
F020,Line Breakage,"(34.1647, -118.3731)",1916.8379791443206,236.0446108013039,51.91972499812274,29.364190926741053,15.579197632074447,Windstorm,Scheduled,Normal,4.726920841401772,5.150290781882864
F173,Line Breakage,"(34.3866, -118.0057)",2046.0270226066511,226.4332961981755,50.6756870620676,27.549475065858594,10.974090073994859,Windstorm,Scheduled,Faulty,3.124983241639929,3.8952833466758214
F187,Transformer Failure,"(34.2927, -118.8638)",1990.6132080015407,231.37663614290565,49.75901662068226,31.133866690772308,19.881190825920704,Thunderstorm,Completed,Normal,5.064818866275878,3.30773235972722
F351,Transformer Failure,"(34.7701, -118.8258)",2016.461206498887,235.58213578434788,48.58922832761416,32.53473992955115,19.755387365843706,Thunderstorm,Completed,Normal,3.8160945919744926,5.211243084501179
F290,Line Breakage,"(34.1603, -118.1848)",2077.370669040567,231.30094988634386,56.06721185090579,25.543007283949663,17.555632303759555,Rainy,Pending,Faulty,4.354811075625319,3.3146585795337464
F035,Overheating,"(34.6953, -118.5586)",2042.277913752727,209.44987682157003,45.8191565486707,20.798386096942878,21.706736348100037,Rainy,Completed,Overheated,2.14172996281504,3.8257195464688722
F442,Overheating,"(34.5608, -118.7147)",1541.792221530415,220.57145055253685,58.115036482614165,21.646460821273138,16.080142657671413,Snowy,Scheduled,Faulty,4.310002943696933,6.26089709337897
F198,Overheating,"(34.0545, -118.243)",1814.383460522672,240.12807657049635,45.36299961400992,36.68531923712055,31.552628675166492,Snowy,Scheduled,Overheated,5.315222934508831,3.4176881892958315
F240,Line Breakage,"(34.3316, -118.0275)",2009.0613850571199,227.798422256145,51.803869052438415,28.505992930352615,18.753300400626642,Rainy,Pending,Faulty,5.990143793553794,5.602976524762147
F211,Line Breakage,"(34.788, -118.2311)",1759.2379464328799,193.91535062977957,49.17615942859839,30.493816046378743,17.544166868552114,Rainy,Completed,Faulty,4.413415751111947,1.2926653913935269
F137,Transformer Failure,"(34.8031, -118.1464)",1904.9661069853637,216.58920109784978,47.31761669064091,27.595502577433734,14.525333272299637,Windstorm,Scheduled,Overheated,2.7719303991528337,5.647457099078193
F453,Overheating,"(34.6857, -118.1732)",1975.2146351946335,203.25988246400487,50.57826430552609,34.166609185018196,22.04144508992245,Windstorm,Completed,Normal,6.128469092949464,4.252383613585053
F456,Line Breakage,"(34.2293, -118.1874)",2067.954012246211,232.94363474846875,54.82458999973944,19.506162887871973,20.000567268518623,Thunderstorm,Pending,Faulty,5.9781870413657066,3.7843644617399397
F327,Overheating,"(34.3866, -118.0057)",2298.334135297754,241.9542531095802,52.891643602427315,41.140904759793706,29.524266950769878,Snowy,Completed,Overheated,4.181398962268557,5.219163212065015
F263,Transformer Failure,"(34.3247, -118.1422)",2094.8639832149574,204.0305694139956,49.227985600999794,23.240565245575937,22.98937906173332,Rainy,Completed,Overheated,4.26378797021294,2.607786114860656
F309,Line Breakage,"(34.2927, -118.8638)",1943.5352458275065,241.72216722785745,53.26053192670016,34.286220008234395,23.870644964303416,Clear,Completed,Normal,6.292533787574805,5.677407045850439
F344,Overheating,"(34.991, -118.7368)",2126.2192887997335,230.30623414212596,45.841567109486505,42.54183190333035,16.60966473643681,Windstorm,Completed,Overheated,4.813575778609229,3.201499912841653
F275,Overheating,"(34.1108, -118.3038)",2060.2187672002824,203.56757705967166,51.667172047078516,31.397491146063913,11.80128637299829,Clear,Scheduled,Normal,6.518530830187071,3.530619728993184
F035,Overheating,"(34.7663, -118.4868)",1844.2161912576564,228.13485798467326,49.1178167984597,31.780067178851862,21.00256541311357,Thunderstorm,Completed,Overheated,1.3352652700989718,5.866354854878048
F439,Transformer Failure,"(34.1806, -118.1552)",2058.2500326049953,269.24586801876507,50.966482656029775,22.32207045420522,22.791728420200037,Windstorm,Completed,Overheated,3.4703735570390775,5.62484676466127
F010,Line Breakage,"(34.1971, -118.3658)",2064.0759980808666,209.68884942372148,52.626734093989825,25.81412301588987,17.589663533046107,Windstorm,Scheduled,Overheated,6.098534278785641,3.5625073945117487
F082,Overheating,"(34.1883, -118.5957)",2205.286904491515,192.87018024600636,51.977913119418446,29.49304787655726,16.260807520976545,Rainy,Completed,Overheated,4.3197522639659045,6.965133789301119
F305,Transformer Failure,"(34.8153, -118.2817)",2118.2983967949212,230.5960253246941,47.700838784645036,35.88423719156815,20.736688466233257,Rainy,Scheduled,Normal,2.8937149707875696,3.499085679894809
F140,Transformer Failure,"(34.7282, -118.7729)",2111.763254160868,237.99328574838788,50.709527706782666,21.52803920994332,11.459531987304,Rainy,Scheduled,Normal,3.832539424812964,1.1458579410304943
F460,Transformer Failure,"(34.4413, -118.8643)",2182.4692404228986,214.866295098473,54.65910495943804,35.49134336628005,19.52165232160547,Thunderstorm,Scheduled,Faulty,4.643495958141459,3.3085258539492655
F110,Transformer Failure,"(34.3228, -118.8885)",2006.729487988634,211.0200978904548,56.241063451460434,27.356196502059877,21.09280170877892,Snowy,Scheduled,Faulty,3.1322349082111405,3.3809934242325905
F397,Transformer Failure,"(34.7279, -118.6279)",2202.970625013382,204.90324862322166,53.271398094144374,32.5520286107008,22.345659661778633,Thunderstorm,Completed,Overheated,3.6632126212409455,3.568854768370469
F062,Line Breakage,"(34.3777, -118.2119)",2054.811282744287,235.55031999150202,50.08802897958745,32.53466875772651,24.682157291631473,Windstorm,Completed,Normal,4.65514545489514,2.856495714867645
F349,Overheating,"(34.5608, -118.7147)",1874.7000890197878,213.46868175428796,51.778683485781,33.580717499489474,18.941569854134038,Rainy,Scheduled,Faulty,4.285559026832903,4.756486508290296
F430,Transformer Failure,"(34.9593, -118.9408)",2037.339009884282,220.51013101722964,46.55709919439968,34.353693309331135,16.92932204725657,Rainy,Completed,Overheated,2.7366728489787793,5.823243820143938
F205,Line Breakage,"(34.9352, -118.4503)",1907.787156737145,178.3602247489244,44.817947063173584,27.975439235725922,18.800235100609395,Snowy,Pending,Faulty,3.80959102051664,4.198015493488012
F040,Line Breakage,"(34.9991, -118.8097)",2277.11710943845,210.0351260643087,46.01944764015081,32.568708714538694,15.621878131239722,Clear,Completed,Overheated,4.259849543933358,3.5849556704661696
F099,Overheating,"(34.5239, -118.9869)",2023.570870280515,227.22655316853346,51.59443977337832,27.493079657166888,25.404189474090472,Windstorm,Pending,Normal,3.68830711607676,0.9592548701444477
F064,Line Breakage,"(34.8426, -118.8105)",1996.0941971942411,208.36045971681227,56.406002450524326,34.75808386089567,24.060503129895714,Snowy,Scheduled,Faulty,3.10339765141283,4.287695073772821
F041,Overheating,"(34.749, -118.7373)",2019.1060438289219,215.99808820892798,50.918907624163815,44.04311523581977,24.308912432857113,Rainy,Completed,Overheated,3.4349604758679426,4.583183301762938
F048,Line Breakage,"(34.3994, -118.986)",1903.4270463472394,252.6526361448214,53.998648765635664,32.580383091179975,23.717663038212113,Windstorm,Scheduled,Overheated,4.5290810790317115,5.4814761578630895
F370,Overheating,"(34.9293, -118.605)",2057.693637722472,235.1987247725541,43.178694566444605,38.58739505418525,13.604426156801843,Windstorm,Scheduled,Overheated,2.9314436171114933,6.07103702539218
F231,Overheating,"(34.3336, -118.764)",2174.725371613015,253.64880890530463,54.327822703868634,20.703552518888518,24.895097851441662,Thunderstorm,Scheduled,Overheated,4.546840808625974,1.5657381567833664
F331,Transformer Failure,"(34.3603, -118.0439)",2154.512622061183,222.52343111689,48.67956097877749,22.80733382536558,16.98610286893271,Snowy,Scheduled,Faulty,5.984671210102542,3.5236493499743595
F172,Transformer Failure,"(34.6807, -118.0055)",1901.9228142992192,239.14299662667162,53.53554391304461,33.41579535665515,17.991255826315665,Thunderstorm,Completed,Normal,3.929091993622427,5.529212439468754
F112,Transformer Failure,"(34.6918, -118.7702)",2028.5051455017474,229.02459345661654,46.97805598781032,26.521705421615394,18.628479063114526,Rainy,Scheduled,Normal,3.4166150984880175,7.6480096225858905
F109,Line Breakage,"(34.1806, -118.1552)",2106.576630211521,250.97612334344683,53.4961132554799,26.57630827131434,22.65965854861843,Thunderstorm,Completed,Normal,2.962631437982557,1.8607611517401992
F341,Overheating,"(34.9196, -118.3233)",1946.137626131489,209.26732372651833,46.80287628034463,25.716130596619816,20.59331158759998,Thunderstorm,Pending,Overheated,3.2098558557591956,1.8418176477516077
F151,Line Breakage,"(34.203, -118.8494)",2119.611427743913,203.76876858236005,45.581902704499164,27.19299037026882,20.774316947992347,Rainy,Completed,Overheated,2.15116440316897,3.505434060877433
F098,Line Breakage,"(34.8307, -118.3005)",2074.5550672165928,246.24023633100094,45.059029590543176,19.16265143780494,15.151540697408993,Thunderstorm,Scheduled,Faulty,2.3062331321078053,8.527296037614182
F016,Transformer Failure,"(34.7282, -118.7729)",1626.0106993987188,174.24536152656262,53.101074932549125,33.902500874802314,17.60394765821921,Thunderstorm,Completed,Faulty,3.193155228280271,3.9335109197861278
F141,Transformer Failure,"(34.9278, -118.5452)",2133.8621047183597,217.94693370281084,52.19897686769826,32.320961282254586,23.31457348723719,Clear,Completed,Normal,3.807690725297326,3.203592087367354
F372,Transformer Failure,"(34.9242, -118.2883)",2186.633087772395,242.59177830619257,55.16561431232391,32.20313989375569,18.115265524433916,Thunderstorm,Pending,Normal,5.238609056022076,3.2370303949743957
F497,Line Breakage,"(34.3813, -118.5256)",2023.9328800372048,247.42257687326983,48.158113899349814,44.74282636607166,8.42825223443832,Windstorm,Completed,Faulty,4.722914128117186,3.876929689162039
F027,Overheating,"(34.0727, -118.7636)",1868.5041367415956,232.23565133295088,49.953806796895634,35.16241409824863,25.25486634978191,Thunderstorm,Completed,Overheated,2.6472581166418823,2.4705316127889434
F330,Line Breakage,"(34.0727, -118.7636)",2079.8186441152825,238.05477277270919,46.68756439751106,36.24200898532195,10.93733826505159,Clear,Pending,Faulty,3.7925472088778176,7.3141165749842285
F204,Line Breakage,"(34.5583, -118.3819)",1978.948804510174,208.92153281914455,50.92070148204288,29.619552008911633,12.305766064418442,Clear,Pending,Normal,4.110834793013785,3.85008173157006
F171,Line Breakage,"(34.2486, -118.6496)",2235.8626048209185,190.59957561300834,50.81283596174255,29.971945679781037,27.042163364748994,Clear,Scheduled,Normal,3.1744116544019447,7.584062607713889
F260,Overheating,"(34.6065, -118.1422)",2032.3467528535903,226.4963985674172,46.896139752327535,45.494625903215635,20.243672061716094,Snowy,Pending,Overheated,5.152234259575663,7.559779712946055
F374,Overheating,"(34.3536, -118.9874)",2101.832459385487,215.75134958321485,50.122628090567645,31.673733317082405,15.39571864138141,Rainy,Scheduled,Faulty,3.9796206212902647,7.503467862152496
F252,Transformer Failure,"(34.7545, -118.9329)",2216.219765932739,191.32054593900915,46.797110033646504,32.09593751908326,8.769324644892428,Clear,Completed,Normal,5.692774381997233,2.426675222966586
F145,Transformer Failure,"(34.2904, -118.0369)",1888.4382121098513,182.73538659045946,55.64537542212377,15.862711079449722,8.537859385270112,Snowy,Completed,Normal,2.0025639517746714,4.153358707999143
F195,Line Breakage,"(34.1203, -118.2873)",1900.4529012620471,212.93672899979646,49.75058772733919,35.45479031393755,16.968435576457694,Rainy,Pending,Faulty,3.084167926700399,5.266619061191626
F244,Overheating,"(34.5503, -118.5638)",1899.2602690371666,199.8981029597274,49.61643869077263,31.42777004231038,16.434229663461274,Clear,Pending,Overheated,3.541059791459033,-1.1988450245747124
F159,Line Breakage,"(34.749, -118.7373)",1953.3136866675218,192.98804871657276,50.76286129397628,36.08741524800237,25.294461365977334,Thunderstorm,Scheduled,Overheated,5.384475466579422,3.8583930639398334
F392,Overheating,"(34.7813, -118.1947)",2054.6273407601198,186.4668602323276,49.92662416525887,29.12374748370491,30.591134000389026,Thunderstorm,Scheduled,Normal,5.445219823491085,0.03247982335789734
F084,Overheating,"(34.4338, -118.7342)",2268.553037248662,230.10374937578416,48.646018027179146,29.82950611680488,24.278043668038904,Clear,Pending,Faulty,5.143037732716264,3.237258213734878
F025,Line Breakage,"(34.7105, -118.5379)",2238.3651198905964,198.62980868703585,46.507744550905045,35.12306341206936,19.976324161708014,Clear,Pending,Overheated,5.871694251632594,1.7546076646662612
F279,Line Breakage,"(34.1881, -118.4291)",2306.3637628057895,231.40946613460045,52.24174300514208,26.64503136122605,19.815542335329443,Windstorm,Pending,Faulty,5.246621804266388,1.0084315886301405
F372,Transformer Failure,"(34.6037, -118.1915)",1839.1759993946282,223.93000350840632,49.88661286560464,25.169739979061344,8.428473217179409,Snowy,Completed,Faulty,1.7223298244167116,4.777516691874237
F011,Transformer Failure,"(34.0315, -118.2743)",2317.1488234764247,223.1730978071724,47.65272281673616,33.73010953459928,19.045025379624004,Clear,Completed,Faulty,3.245791504321996,2.393211605708842
F114,Transformer Failure,"(34.5461, -118.2655)",1884.0492164537463,204.48954535720924,50.800380860914885,30.58791918202081,18.847866813914173,Snowy,Pending,Faulty,4.269858122818507,4.757843976253098
F147,Line Breakage,"(34.4867, -118.7092)",2113.177558527703,201.4238565746346,46.78494686822137,26.719486093370175,14.481269502522979,Windstorm,Pending,Normal,3.8532127865174144,4.874405831508865
F355,Line Breakage,"(34.9127, -118.2633)",2113.879914745962,196.25263225594992,52.327960581802124,24.444298282127463,26.40184254125614,Clear,Pending,Overheated,4.410111980408907,5.31837675250625
F044,Line Breakage,"(34.2927, -118.8638)",1970.0977067261679,229.69209691580974,50.42778402193026,34.63418467921872,23.74143657647116,Rainy,Completed,Overheated,3.485016969380773,3.3080225128100498
F372,Line Breakage,"(34.6918, -118.7702)",2125.2476596867386,230.51559152824075,49.70636807509699,20.315815672847805,16.795423062796687,Clear,Pending,Faulty,2.1000221290352084,7.321488781747794
F266,Overheating,"(34.0966, -118.1855)",2286.471696794924,211.50981275754594,53.16632847407254,34.603649551349406,18.07238812816752,Clear,Pending,Overheated,3.723534210393597,6.200865124614296
F429,Overheating,"(34.6887, -118.1333)",1915.8452041068183,244.98212700106384,55.31275255355486,35.70101539572212,17.785798936337375,Rainy,Pending,Overheated,6.2400241904783265,0.11080920328183552
F252,Overheating,"(34.5219, -118.2626)",1933.1629010678384,232.86364882716833,51.8446796095372,22.26979100760689,20.923537079872276,Snowy,Scheduled,Normal,6.283067019103157,6.29925426937392
F415,Line Breakage,"(34.5945, -118.4268)",2176.043923617279,223.87422749081964,48.111993625533394,33.504439996833824,21.813593458687276,Thunderstorm,Scheduled,Normal,4.720265070648746,3.238978610504401
F412,Transformer Failure,"(34.9651, -118.8866)",2070.951344356917,239.70743708782106,51.32513675377901,25.72246625285817,7.658142050795883,Snowy,Completed,Faulty,3.8721690523830765,5.968873390048736
F377,Transformer Failure,"(34.5751, -118.4681)",2221.9960707240584,210.90557415105488,51.95625090176637,23.26894707638534,12.701243798452401,Clear,Pending,Normal,3.2210165172806864,0.7650978757597966
F227,Transformer Failure,"(34.223, -118.3624)",2226.5330239582695,254.63715229024956,46.46595323079934,24.237172711401314,16.795851131487748,Thunderstorm,Pending,Faulty,6.661322889588876,3.6452910793838953
F504,Transformer Failure,"(34.0586, -118.9831)",2120.2387081726456,239.64963644871494,53.632342919288405,30.193984037653344,12.250527225335631,Clear,Scheduled,Overheated,4.453413255532356,2.106114583695021
F404,Transformer Failure,"(34.8522, -118.1833)",2129.838600223028,208.52873751080733,48.82759986733943,33.53627835861365,2.940169842237438,Clear,Scheduled,Faulty,5.020997751362665,4.4744448305221205
F203,Transformer Failure,"(34.0586, -118.9831)",2161.591811321275,239.2320613800518,46.7219526072544,41.58010105594765,26.659151755157932,Clear,Scheduled,Overheated,3.300131551741736,1.5934930044463198
F319,Overheating,"(34.7655, -118.22)",2092.5729483773594,246.02857303849635,48.140428554586514,35.013762238109905,14.871772675895535,Windstorm,Pending,Faulty,1.7028587474342638,8.154973736790405
F316,Transformer Failure,"(34.52, -118.3647)",2007.9570955777501,205.92143605924593,48.61883367026687,18.858262906348415,16.53648169521646,Rainy,Completed,Normal,3.4008912812526666,5.972766711937458
F367,Line Breakage,"(34.9466, -118.9793)",1915.880554990399,190.81306906481205,51.3670040764805,20.915847477266265,26.123130967858074,Windstorm,Scheduled,Overheated,2.8509383682621756,5.654671123846068
F267,Line Breakage,"(34.6058, -118.254)",2456.6195274445495,228.69424515311974,49.191085566561206,32.12886365590548,15.71918013311317,Rainy,Completed,Normal,4.511246984022472,3.1916475641119817
F014,Transformer Failure,"(34.8664, -118.4677)",1988.6699904698237,222.18746744966046,51.27215591432571,33.493452455017824,16.177693143155285,Clear,Completed,Normal,3.3807841486640813,5.6248003258668815
F087,Transformer Failure,"(34.7943, -118.1529)",2131.116811114714,213.87372157100364,52.79001217029341,37.80163751774361,20.97561614192809,Rainy,Completed,Faulty,4.230959050874018,4.01819327490605
F191,Overheating,"(34.1866, -118.2385)",1795.0948419989006,203.23581699750824,45.37830060431645,31.284886020854984,29.40223606912408,Clear,Completed,Normal,2.613036512559461,3.3345191514159387
F500,Overheating,"(34.697, -118.7264)",2043.5266056225712,198.61893443341708,52.39960221050812,23.434040841233468,21.912155724097772,Snowy,Pending,Overheated,4.165597141092787,5.579471398702588
F411,Line Breakage,"(34.0658, -118.2155)",2204.7509598107195,156.6661871870498,54.16246251705523,27.894825336816822,11.707780883082203,Windstorm,Scheduled,Overheated,3.29804225944533,-0.6399729403139371
F417,Overheating,"(34.4295, -118.7462)",2375.8988876842,194.3529437972373,48.79157821952697,39.83655966993447,15.825056873332237,Snowy,Pending,Normal,3.9664791602291114,7.699271266710971
F419,Transformer Failure,"(34.9242, -118.2883)",2231.4959569923785,197.5413485204738,47.42856277632564,30.972810693623384,10.743189944795212,Snowy,Completed,Faulty,4.054615730000298,4.5689210240310665
F143,Transformer Failure,"(34.9127, -118.2633)",2067.5410612079627,212.14298059820297,49.07466244520716,36.27792207807903,16.451956811799235,Clear,Scheduled,Normal,2.8240992121203305,3.4985517747524963
F277,Transformer Failure,"(34.1047, -118.1603)",1978.9827117483792,234.6851539436458,46.466420073385194,34.19688134384825,14.207426556401945,Thunderstorm,Scheduled,Overheated,3.951666997003348,3.546780085298832
F169,Line Breakage,"(34.9181, -118.3881)",2202.0978430426394,195.14007027202535,52.15481521913936,35.70648413969808,20.782925528426592,Snowy,Pending,Overheated,2.929947097141649,5.474632290316933
F380,Transformer Failure,"(34.275, -118.6623)",2113.6574958940964,251.7164889629323,49.31184917512619,30.071700735234046,27.80427898989871,Rainy,Scheduled,Faulty,3.8431971651594865,0.889005744599173
F503,Line Breakage,"(34.0171, -118.7656)",2141.406171650908,191.31182086976432,50.40571739043143,28.484929889918885,10.469746654118905,Thunderstorm,Scheduled,Overheated,4.720413569789398,1.4175178952165202
F083,Transformer Failure,"(34.2709, -118.483)",2380.7495169831745,235.91861880854788,47.39415547060081,40.758341538879826,14.59744445457234,Rainy,Scheduled,Faulty,3.2065638993379966,1.1871871018660336
F215,Transformer Failure,"(34.667, -118.5485)",2100.9782907002364,212.20251502775426,50.698887069218706,27.344099489254454,23.461447422006604,Clear,Scheduled,Overheated,2.3467052963706116,6.252960498759903
F495,Line Breakage,"(34.2682, -118.7287)",2415.6995194709316,199.55391485352908,48.836980590688476,24.821841935987482,11.95396135640353,Clear,Completed,Faulty,4.937764009567203,4.153308547659684
F466,Overheating,"(34.5239, -118.9869)",2136.8231328930806,197.0405509198472,43.568075743543275,23.935960730461147,23.005318376242286,Thunderstorm,Scheduled,Overheated,2.191040160916541,5.474643260005214
F122,Line Breakage,"(34.6953, -118.5586)",2015.5647511754134,208.36919126648476,45.72829368641831,30.172706913006813,30.13106573184338,Thunderstorm,Completed,Normal,3.201819284178274,5.341460171829511
F114,Line Breakage,"(34.5981, -118.3666)",2176.634700386353,271.2846752588859,48.78689966282009,23.790576704034763,13.864333204537726,Rainy,Completed,Normal,4.091256547025007,3.223998893212179
F477,Transformer Failure,"(34.6742, -118.1915)",2137.347994414898,233.5048213605142,49.16688465346725,31.34885368290256,22.83717908988886,Clear,Completed,Normal,3.932212007668728,3.7897725067409533
F253,Line Breakage,"(34.3603, -118.0439)",2011.3761583557,209.31868227286597,48.73905620848349,34.70920452161786,18.43391206437327,Rainy,Pending,Overheated,3.0487546952257145,7.147116639374724
